Release_Date,Title,Popularity,Vote_Count,Vote_Average,Genre,Year
2021-12-15,Spider-Man: No Way Home,5083.954,8940.0,8.3,Action,2021
2021-12-15,Spider-Man: No Way Home,5083.954,8940.0,8.3,Adventure,2021
2021-12-15,Spider-Man: No Way Home,5083.954,8940.0,8.3,Science Fiction,2021
2022-03-01,The Batman,3827.658,1151.0,8.1,Crime,2022
2022-03-01,The Batman,3827.658,1151.0,8.1,Mystery,2022
2022-03-01,The Batman,3827.658,1151.0,8.1,Thriller,2022
2022-02-25,No Exit,2618.087,122.0,6.3,Thriller,2022
2021-11-24,Encanto,2402.201,5076.0,7.7,Animation,2021
2021-11-24,Encanto,2402.201,5076.0,7.7,Comedy,2021
2021-11-24,Encanto,2402.201,5076.0,7.7,Family,2021
2021-11-24,Encanto,2402.201,5076.0,7.7,Fantasy,2021
2021-12-22,The King's Man,1895.511,1793.0,7.0,Action,2021
2021-12-22,The King's Man,1895.511,1793.0,7.0,Adventure,2021
2021-12-22,The King's Man,1895.511,1793.0,7.0,Thriller,2021
2021-12-22,The King's Man,1895.511,1793.0,7.0,War,2021
2022-01-07,The Commando,1750.484,33.0,6.6,Action,2022
2022-01-07,The Commando,1750.484,33.0,6.6,Crime,2022
2022-01-07,The Commando,1750.484,33.0,6.6,Thriller,2022
2022-01-12,Scream,1675.161,821.0,6.8,Horror,2022
2022-01-12,Scream,1675.161,821.0,6.8,Mystery,2022
2022-01-12,Scream,1675.161,821.0,6.8,Thriller,2022
2022-02-10,Kimi,1601.782,206.0,6.3,Thriller,2022
2022-02-17,Fistful of Vengeance,1594.013,114.0,5.3,Action,2022
2022-02-17,Fistful of Vengeance,1594.013,114.0,5.3,Crime,2022
2022-02-17,Fistful of Vengeance,1594.013,114.0,5.3,Fantasy,2022
2021-11-03,Eternals,1537.406,4726.0,7.2,Science Fiction,2021
2022-02-18,Pursuit,1500.523,16.0,5.9,Action,2022
2022-02-18,Pursuit,1500.523,16.0,5.9,Crime,2022
2022-02-18,Pursuit,1500.523,16.0,5.9,Thriller,2022
2021-08-06,My Hero Academia: World Heroes' Mission,1485.064,100.0,7.3,Animation,2021
2021-08-06,My Hero Academia: World Heroes' Mission,1485.064,100.0,7.3,Action,2021
2021-08-06,My Hero Academia: World Heroes' Mission,1485.064,100.0,7.3,Fantasy,2021
2021-08-06,My Hero Academia: World Heroes' Mission,1485.064,100.0,7.3,Adventure,2021
2022-02-25,Restless,1468.377,107.0,5.9,Action,2022
2022-02-25,Restless,1468.377,107.0,5.9,Thriller,2022
2022-02-25,Restless,1468.377,107.0,5.9,Crime,2022
2021-12-02,Nightmare Alley,1455.144,952.0,7.1,Crime,2021
2021-12-02,Nightmare Alley,1455.144,952.0,7.1,Drama,2021
2021-12-02,Nightmare Alley,1455.144,952.0,7.1,Thriller,2021
2022-01-28,The Ice Age Adventures of Buck Wild,1431.307,737.0,7.1,Animation,2022
2022-01-28,The Ice Age Adventures of Buck Wild,1431.307,737.0,7.1,Comedy,2022
2022-01-28,The Ice Age Adventures of Buck Wild,1431.307,737.0,7.1,Adventure,2022
2022-01-28,The Ice Age Adventures of Buck Wild,1431.307,737.0,7.1,Family,2022
2022-02-25,Hotel Transylvania: Transformania,1373.778,288.0,7.0,Animation,2022
2022-02-25,Hotel Transylvania: Transformania,1373.778,288.0,7.0,Family,2022
2022-02-25,Hotel Transylvania: Transformania,1373.778,288.0,7.0,Fantasy,2022
2022-02-25,Hotel Transylvania: Transformania,1373.778,288.0,7.0,Comedy,2022
2022-02-25,Hotel Transylvania: Transformania,1373.778,288.0,7.0,Adventure,2022
2022-02-18,Texas Chainsaw Massacre,1312.79,521.0,5.1,Horror,2022
2022-01-28,The Requin,1252.317,65.0,4.6,Thriller,2022
2022-02-04,Looop Lapeta,1240.946,31.0,6.0,Action,2022
2022-02-04,Looop Lapeta,1240.946,31.0,6.0,Comedy,2022
2022-02-04,Looop Lapeta,1240.946,31.0,6.0,Crime,2022
2021-11-04,Red Notice,1178.544,3193.0,6.8,Action,2021
2021-11-04,Red Notice,1178.544,3193.0,6.8,Comedy,2021
2021-11-04,Red Notice,1178.544,3193.0,6.8,Crime,2021
2021-11-04,Red Notice,1178.544,3193.0,6.8,Thriller,2021
2021-12-01,Sing 2,1112.9,2172.0,8.2,Animation,2021
2021-12-01,Sing 2,1112.9,2172.0,8.2,Comedy,2021
2021-12-01,Sing 2,1112.9,2172.0,8.2,Family,2021
2021-12-01,Sing 2,1112.9,2172.0,8.2,Music,2021
2022-01-03,The Jack in the Box: Awakening,1096.79,43.0,5.4,Horror,2022
2021-09-30,Venom: Let There Be Carnage,1053.615,6539.0,7.1,Science Fiction,2021
2021-09-30,Venom: Let There Be Carnage,1053.615,6539.0,7.1,Action,2021
2021-09-30,Venom: Let There Be Carnage,1053.615,6539.0,7.1,Adventure,2021
2021-12-16,The Matrix Resurrections,941.024,3160.0,6.8,Science Fiction,2021
2021-12-16,The Matrix Resurrections,941.024,3160.0,6.8,Action,2021
2021-12-16,The Matrix Resurrections,941.024,3160.0,6.8,Adventure,2021
2021-11-24,Resident Evil: Welcome to Raccoon City,881.086,1312.0,6.1,Horror,2021
2021-11-24,Resident Evil: Welcome to Raccoon City,881.086,1312.0,6.1,Action,2021
2021-11-24,Resident Evil: Welcome to Raccoon City,881.086,1312.0,6.1,Science Fiction,2021
2021-10-19,Last Man Down,869.605,318.0,6.3,Action,2021
2021-10-19,Last Man Down,869.605,318.0,6.3,Thriller,2021
